demand,avg_solve_time,avg_all_time,file_count
5,3.078638957440853,28.50876250080764,10
6,6.739713199436665,54.74293630979955,10
7,13.740288769081236,126.75989797636866,10
8,31.698566325836712,329.72626635266676,9
9,37.820246933959424,264.7082699057646,8
10,79.83276812572565,356.99073240480254,7
11,130.27393189743162,559.7867173351348,5
12,279.30632881894707,860.4948249161243,5
14,684.9720238037407,833.0410787537694,2
13,204.0964215695858,314.4982580989599,1
15,1422.7142324224114,1569.9021099209783,1
