Demand,FOne,FTwo,FThree,FFour,FFive
D1,100 / 100,100 / 100,100 / 100,99 / 99,98 / 98
D2,100 / 100,99 / 99,96 / 96,94 / 94,89 / 89
D3,100 / 100,98 / 98,94 / 94,91 / 91,84 / 84
D4,100 / 100,98 / 98,93 / 93,87 / 87,78 / 78
D5,100 / 100,96 / 96,89 / 89,83 / 83,72 / 72
D6,91 / 100,82 / 95,69 / 84,57 / 76,48 / 63
D7,91 / 100,82 / 95,67 / 82,52 / 71,42 / 56
D8,82 / 100,68 / 95,54 / 82,40 / 71,31 / 56
D9,86 / 100,72 / 94,55 / 80,43 / 69,34 / 54
