solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00012139976024627686,0.012163765728473663,true,3,-1,2,1,res_kanto11.gml
0.0002206936478614807,0.022149182856082916,true,6,-1,4,1,res_kanto11.gml
0.0002804100513458252,0.023460902273654938,true,9,-1,6,1,res_kanto11.gml
0.0003239363431930542,0.02463264763355255,true,9,-1,8,1,res_kanto11.gml
0.0014693960547447205,0.036134131252765656,true,682,-1,10,1,res_kanto11.gml
0.01522265374660492,0.06446512043476105,true,490,-1,12,1,res_kanto11.gml
0.062205925583839417,0.14818661659955978,true,272,-1,14,1,res_kanto11.gml
0.10082750767469406,0.18297093361616135,true,691,-1,16,1,res_kanto11.gml
0.1065436601638794,0.21607328951358795,true,655,-1,18,1,res_kanto11.gml
0.28980957716703415,0.629430502653122,true,1332,-1,20,1,res_kanto11.gml
5.446214206516743,6.747264392673969,true,22843,-1,22,1,res_kanto11.gml
197.8651468977332,200.29105463624,true,675780,-1,24,1,res_kanto11.gml
156.57682030647993,159.89758694916964,true,492848,-1,26,1,res_kanto11.gml
5.565334051847458,8.98634760081768,true,59001,-1,28,1,res_kanto11.gml
3.9380596205592155,7.403149947524071,true,19933,-1,30,1,res_kanto11.gml
2515.092838138342,2525.4558595716953,true,1630809,-1,32,1,res_kanto11.gml
12.984768383204937,16.513549461960793,true,51215,-1,34,1,res_kanto11.gml
3290.932265199721,3296.617690511048,true,1959790,-1,36,1,res_kanto11.gml
