solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00015730038285255432,0.01452985405921936,true,3,-1,2,4,res_kanto11.gml
0.0003317706286907196,0.035581909120082855,true,4,-1,4,4,res_kanto11.gml
0.00036511197686195374,0.02878984808921814,true,4,-1,6,4,res_kanto11.gml
0.0011131539940834045,0.048667434602975845,true,141,-1,8,4,res_kanto11.gml
0.0023235753178596497,0.07405255362391472,true,192,-1,10,4,res_kanto11.gml
0.06228060647845268,0.17090433090925217,true,358,-1,12,4,res_kanto11.gml
0.07230891659855843,0.19411581009626389,true,252,-1,14,4,res_kanto11.gml
0.12611020356416702,0.24324212968349457,true,337,-1,16,4,res_kanto11.gml
0.32535023987293243,0.7279245629906654,true,1491,-1,18,4,res_kanto11.gml
4.684974242001772,5.673940174281597,true,23226,-1,20,4,res_kanto11.gml
6.594220444560051,10.947617795318365,true,10338,-1,22,4,res_kanto11.gml
133.13641527295113,141.41394525393844,true,132737,-1,24,4,res_kanto11.gml
5.574389718472958,10.003084499388933,true,19790,-1,26,4,res_kanto11.gml
410.92673152312636,417.69524366408587,true,636741,-1,28,4,res_kanto11.gml
1690.7427925169468,1701.1227448061109,true,1438695,-1,30,4,res_kanto11.gml
1189.2615228071809,1201.9163382276893,true,636606,-1,32,4,res_kanto11.gml
16.01417037844658,32.85603718459606,true,34475,-1,34,4,res_kanto11.gml
2152.020314231515,2158.2621020525694,true,2480561,-1,36,4,res_kanto11.gml
