solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.006785452365875244,0.35555025935173035,true,26,-1,5,2,res_Gblnet.gml
0.254753902554512,0.59552813321352,true,61,-1,10,2,res_Gblnet.gml
0.6848595440387726,1.1060959920287132,true,91,-1,15,2,res_Gblnet.gml
2.513623785227537,2.9651143960654736,true,141,-1,20,2,res_Gblnet.gml
3.51909002661705,4.001288361847401,true,176,-1,25,2,res_Gblnet.gml
7.006005559116602,7.51149494946003,true,211,-1,30,2,res_Gblnet.gml
12.966044832020998,13.53635361790657,true,281,-1,35,2,res_Gblnet.gml
19.033308185636997,19.651261691004038,true,321,-1,40,2,res_Gblnet.gml
22.515276338905096,23.2852300144732,true,361,-1,45,2,res_Gblnet.gml
37.70772406086326,38.51433774083853,true,401,-1,50,2,res_Gblnet.gml
38.63253903016448,39.394583597779274,true,441,-1,55,2,res_Gblnet.gml
46.53523996472359,47.33604022860527,true,481,-1,60,2,res_Gblnet.gml
