solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00016782432794570923,0.020148754119873047,true,-1,-1,2,2,res_kanto11.gml
0.0014859624207019806,0.02369105815887451,true,-1,-1,4,2,res_kanto11.gml
0.023166093975305557,0.04555705189704895,true,-1,-1,6,2,res_kanto11.gml
0.17430220544338226,0.28371744230389595,true,-1,-1,8,2,res_kanto11.gml
0.11296159029006958,0.13879592344164848,true,-1,-1,10,2,res_kanto11.gml
0.4327102042734623,0.4602250047028065,true,-1,-1,12,2,res_kanto11.gml
0.6938317567110062,0.7220836766064167,true,-1,-1,14,2,res_kanto11.gml
4.0672724060714245,4.097918763756752,true,-1,-1,16,2,res_kanto11.gml
