solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00014945119619369507,0.011833079159259796,true,1,-1,1,1,res_kanto11.gml
0.0003775879740715027,0.033443428575992584,true,7,-1,3,1,res_kanto11.gml
0.000596165657043457,0.04480826109647751,true,9,-1,5,1,res_kanto11.gml
0.0012882649898529053,0.058571942150592804,true,31,-1,7,1,res_kanto11.gml
0.0022128447890281677,0.06258738040924072,true,31,-1,9,1,res_kanto11.gml
0.043173834681510925,0.1587403640151024,true,117,-1,11,1,res_kanto11.gml
0.25062453001737595,0.5463991314172745,true,231,-1,13,1,res_kanto11.gml
0.887060321867466,1.9035643488168716,true,3348,-1,15,1,res_kanto11.gml
3.50170686095953,5.8037504851818085,true,3417,-1,17,1,res_kanto11.gml
25.238063007593155,41.83512581884861,true,43937,-1,19,1,res_kanto11.gml
0.00010589510202407837,0.011613354086875916,true,1,-1,1,1,res_dt.gml
0.00015322118997573853,0.0178273543715477,true,4,-1,3,1,res_dt.gml
0.00037175416946411133,0.03444290906190872,true,10,-1,5,1,res_dt.gml
0.0008486062288284302,0.051604777574539185,true,64,-1,7,1,res_dt.gml
0.0015931054949760437,0.07264082133769989,true,228,-1,9,1,res_dt.gml
0.06425424665212631,0.15416597574949265,true,215,-1,11,1,res_dt.gml
0.24692215770483017,0.545397475361824,true,659,-1,13,1,res_dt.gml
1.3694395646452904,2.3926495239138603,true,3918,-1,15,1,res_dt.gml
10.205540865659714,16.084477484226227,true,15369,-1,17,1,res_dt.gml
3600,3600,3600,3600,3600,19,3600,res_dt.gml
