solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00019880011677742004,0.01914016529917717,true,-1,-1,2,2,res_kanto11.gml
0.0015549249947071075,0.02298842743039131,true,-1,-1,4,2,res_kanto11.gml
0.0632806159555912,0.1374436803162098,true,-1,-1,6,2,res_kanto11.gml
0.08780722320079803,0.11611058935523033,true,-1,-1,8,2,res_kanto11.gml
0.12239222228527069,0.14798066392540932,true,-1,-1,10,2,res_kanto11.gml
0.29969586059451103,0.32369810715317726,true,-1,-1,12,2,res_kanto11.gml
0.49035198241472244,0.5546048656105995,true,-1,-1,14,2,res_kanto11.gml
4.733202699571848,4.76288740709424,true,-1,-1,16,2,res_kanto11.gml
7.1906313225626945,8.978246357291937,true,8710,-1,28,2,res_kanto11.gml
3.5625115893781185,5.8109660521149635,true,6810,-1,30,2,res_kanto11.gml
18.93389333039522,32.80281840637326,true,71097,-1,36,2,res_kanto11.gml
