solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00011977553367614746,0.014307200908660889,true,3,-1,2,1,res_dt.gml
0.00014631450176239014,0.019036494195461273,true,5,-1,4,1,res_dt.gml
0.00024594366550445557,0.029148459434509277,true,4,-1,6,1,res_dt.gml
0.0003188773989677429,0.034528836607933044,true,10,-1,8,1,res_dt.gml
0.0003713071346282959,0.03553653508424759,true,10,-1,10,1,res_dt.gml
0.014263145625591278,0.06238295137882233,true,53,-1,12,1,res_dt.gml
0.015884757041931152,0.07632768899202347,true,530,-1,14,1,res_dt.gml
0.027201078832149506,0.09290631860494614,true,935,-1,16,1,res_dt.gml
0.236690916121006,0.4415563493967056,true,1126,-1,18,1,res_dt.gml
2.438994139432907,3.2853580862283707,true,31009,-1,20,1,res_dt.gml
9.144703768193722,13.453265137970448,true,35332,-1,22,1,res_dt.gml
100.23145913332701,128.07191007584333,true,36311,-1,24,1,res_dt.gml
124.10007370263338,147.34549149125814,true,534985,-1,26,1,res_dt.gml
609.7147485911846,649.7625785022974,true,560513,-1,30,1,res_dt.gml
1033.4317719712853,1071.1505955085158,true,1489409,-1,32,1,res_dt.gml
