solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00024696439504623413,0.021774016320705414,true,3,-1,2,9,res_dt.gml
0.0003394782543182373,0.022030610591173172,true,5,-1,4,9,res_dt.gml
0.0005279779434204102,0.045290395617485046,true,6,-1,6,9,res_dt.gml
0.0015207529067993164,0.06483805179595947,true,157,-1,8,9,res_dt.gml
0.0026250332593917847,0.06613359600305557,true,906,-1,10,9,res_dt.gml
0.025930054485797882,0.09528066962957382,true,65,-1,12,9,res_dt.gml
0.057567596435546875,0.1550896093249321,true,1477,-1,14,9,res_dt.gml
0.06323880702257156,0.16984231024980545,true,2576,-1,16,9,res_dt.gml
0.06938176602125168,0.21940843015909195,true,528,-1,18,9,res_dt.gml
0.07830353081226349,0.3272720277309418,true,473,-1,20,9,res_dt.gml
0.09149523079395294,0.25534848868846893,true,961,-1,22,9,res_dt.gml
1.2517860904335976,2.5564477741718292,true,3371,-1,24,9,res_dt.gml
5.571105279028416,12.856772221624851,true,19279,-1,26,9,res_dt.gml
7.16726403683424,15.135305866599083,true,20181,-1,28,9,res_dt.gml
31.063139908015728,41.070399574935436,true,11540,-1,30,9,res_dt.gml
371.6913739591837,420.3213512003422,true,134730,-1,32,9,res_dt.gml
428.38834381848574,445.5672136545181,true,964737,-1,34,9,res_dt.gml
