solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00019590556621551514,0.021624017506837845,true,-1,-1,2,2,res_kanto11.gml
0.0013703852891921997,0.0213569775223732,true,-1,-1,4,2,res_kanto11.gml
0.0048849210143089294,0.02551746368408203,true,-1,-1,6,2,res_kanto11.gml
0.06230967491865158,0.08619694039225578,true,-1,-1,8,2,res_kanto11.gml
0.04720315337181091,0.10657152533531189,true,-1,-1,10,2,res_kanto11.gml
0.07872524857521057,0.1594546139240265,true,-1,-1,12,2,res_kanto11.gml
0.18240474164485931,0.2652429863810539,true,-1,-1,14,2,res_kanto11.gml
0.30966759100556374,0.3418622799217701,true,-1,-1,16,2,res_kanto11.gml
0.517281349748373,0.5515030585229397,true,-1,-1,18,2,res_kanto11.gml
0.6777689307928085,0.7099715769290924,true,-1,-1,20,2,res_kanto11.gml
1.0761893019080162,1.1214976646006107,true,-1,-1,22,2,res_kanto11.gml
1.4551086649298668,1.4914578683674335,true,-1,-1,24,2,res_kanto11.gml
1.7406065762043,1.8954079523682594,true,-1,-1,26,2,res_kanto11.gml
2.256906319409609,2.341978821903467,true,-1,-1,28,2,res_kanto11.gml
3.0955408476293087,3.13895208761096,true,-1,-1,30,2,res_kanto11.gml
3.6708964705467224,3.7204009257256985,true,-1,-1,32,2,res_kanto11.gml
6.353093847632408,6.4892296232283115,true,-1,-1,34,2,res_kanto11.gml
5.8372551910579205,5.92261603474617,true,-1,-1,36,2,res_kanto11.gml
8.274228230118752,8.32897737622261,true,-1,-1,38,2,res_kanto11.gml
10.333210974931717,10.484610259532928,true,-1,-1,40,2,res_kanto11.gml
