demand,avg_solve_time,avg_all_time,file_count
2,0.00022693499922748,0.02563818842172617,10
4,0.00038871802389616004,0.03342151232063767,10
6,0.00072745271027084,0.05030978620052336,10
8,0.00139719136059279,0.061685562506318035,10
10,0.0024974018335341902,0.08579550497233863,10
12,0.024747896939516012,0.11550141945481299,10
14,0.04326910078525539,0.14360471740365027,10
16,0.10233442448079581,0.25165296643972396,10
18,0.2381671991199255,0.4760498829185963,10
20,0.5668242543935775,0.9582590024918318,10
22,0.6321500405669213,1.398383405804634,10
24,1.7852017037570476,2.7326969116926194,10
26,1.8619074687361716,3.8573770195245745,10
28,5.489644985273481,8.577593812346459,10
30,9.359239227697254,14.26544936336577,10
32,63.79319131076336,73.3633952382952,10
34,91.6022650398314,98.86570876203477,10
36,61.59624947926828,69.79241162378874,7
38,216.66906208979586,309.749135547628,6
40,445.922529115652,465.4533221063514,6
42,253.2762209571898,301.25599163547156,5
44,385.1063855538766,484.05657668163377,3
