solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.00019209831953048706,0.03270968049764633,true,3,-1,2,1,res_kanto11.gml
0.00036332011222839355,0.05320305377244949,true,6,-1,4,1,res_kanto11.gml
0.0005787387490272522,0.052028119564056396,true,6,-1,6,1,res_kanto11.gml
0.001159660518169403,0.07431039214134216,true,202,-1,8,1,res_kanto11.gml
0.0022410601377487183,0.056316278874874115,true,592,-1,10,1,res_kanto11.gml
0.024028196930885315,0.08693040907382965,true,135,-1,12,1,res_kanto11.gml
0.06552304327487946,0.16490716487169266,true,220,-1,14,1,res_kanto11.gml
0.2517114207148552,0.6973416954278946,true,466,-1,16,1,res_kanto11.gml
0.8060900047421455,1.2445328012108803,true,4438,-1,18,1,res_kanto11.gml
0.7682153806090355,1.2695097252726555,true,1727,-1,20,1,res_kanto11.gml
0.8245208412408829,1.3525878936052322,true,3084,-1,22,1,res_kanto11.gml
3.62414338439703,5.659245081245899,true,4670,-1,24,1,res_kanto11.gml
4.421985611319542,7.302221570163965,true,5482,-1,26,1,res_kanto11.gml
4.991777565330267,7.733478374779224,true,4003,-1,28,1,res_kanto11.gml
19.76692332699895,27.58162434026599,true,8650,-1,30,1,res_kanto11.gml
100.07769554108381,123.71685569360852,true,22247,-1,32,1,res_kanto11.gml
52.01159595325589,61.32874025404453,true,165623,-1,34,1,res_kanto11.gml
20.94821897149086,33.97100079804659,true,51283,-1,36,1,res_kanto11.gml
53.010104686021805,69.98286644741893,true,45931,-1,38,1,res_kanto11.gml
84.35660251230001,158.1538375467062,true,71008,-1,40,1,res_kanto11.gml
143.34372797608376,288.3037594370544,true,130268,-1,42,1,res_kanto11.gml
