demand,avg_solve_time,avg_all_time,file_count
2,0.00022611320018763,0.02158008627593511,10
4,0.0003052350133657,0.026571958512067746,10
6,0.0006284937262534701,0.041030087694525666,10
8,0.0009466871619224099,0.05330424420535561,10
10,0.0014229044318198702,0.05032292231917377,10
12,0.01868355162441727,0.07894601710140703,10
14,0.04969736523926254,0.14454360194504257,10
16,0.11559174135327337,0.3140809882432222,10
18,0.20194297134876246,0.42532855421304705,10
20,0.22806836552917958,0.47784108854830265,10
22,0.3661586228758097,0.6551780592650175,10
24,0.8973601199686527,1.4560106609016656,10
26,1.183987058699131,2.2454641327261924,10
28,2.065314383432269,3.5001503594219683,10
30,5.90133115015924,9.152528059855104,10
32,100.9108810763806,107.99530090019107,10
34,37.04641471968757,45.24330458997024,9
36,56.09293624162674,71.1253969181329,10
38,99.75273421518504,120.34356372691691,10
40,261.6629256502622,322.9896969232294,9
42,412.04377332785066,448.7766697054936,9
44,219.91268270028135,257.7972226701677,6
