demands,dt/kanto,failures
3,42s/23s,1
3,17m/6m,2
3,5h/2h,3
3,2d/9h,4
3,16d/2d,5
6,2m/2m,1
6,39m/18m,2
6,10h/3h,3
6,5d/20h,4
6,35d/5d,5
9,3m/3m,1
9,2h/33m,2
9,16h/6h,3
9,7d/2d,4
9,54d/7d,5
