demand,avg_solve_time,avg_all_time,file_count
5,3.5922304525971414,27.146875210106373,10
6,5.79580312371254,46.052626895159484,10
7,14.181386624276637,66.18395850360393,10
8,40.89208199009299,376.5996403567493,10
9,117.8821972079575,1045.831860281527,10
10,503.408231710749,939.8423532715866,7
12,556.9925034884363,844.7226660717279,4
11,245.35347418934106,606.578931055963,5
15,887.3040922246873,2291.019960165024,2
13,280.8120669648051,847.6721771247685,2
14,317.08307379484177,1702.760487109423,1
